artist,album,track,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
All Get Out,All Get Out,01 Coach Connor,145,39.7,3.55,86.26,63.69,145,5.52,91.72,80,62.76,11.72,8.28,8.28,0,0,0,0,3.45,21.38,8.97,4.83,11.03,7.59,13.79,5.52,1.38,17.24,8.28,11.72,2.76,1.38,1.38,0,13.1,6.21,6.9,2.07,0.69,2.07,1.38,0,1.38,0.69,3.45,2.76,0,2.76,2.76,0,0,0,0,0.69,3.45,0.69,0,0,0,0,0,1.38,0,0.69,0,0,0,0,0,0,5.52,0,3.45,0.69,0.69,0.69,0.69,0,0,0,0,0,0,0,0,0,0.69,0.69,0,0,0,0,0,0,11.03,11.72,0,1.38,7.59,1.38,0,1.38,5.52,4.14,4.14,0.69,0,0,0,0,0,4.14,0,0.69,0,0,3.45,0,0
All Get Out,All Get Out,02 Come My Way,933,51.46,65.94,73.28,42.47,93.3,8.25,84.24,65.49,51.02,17.36,13.61,6.65,2.68,3.75,0.43,0.11,3.75,13.61,5.89,1.93,13.5,7.4,4.07,4.39,2.25,17.26,4.39,5.04,4.72,3.54,0.75,0.54,9.86,2.25,7.5,1.71,0.64,1.29,1.07,0.21,3.32,0.11,5.57,3.43,1.93,1.07,0.21,0.64,0.11,0.21,0.11,0,13.83,4.18,0.64,0.11,0.43,0,2.25,10.18,0.54,0.21,0.43,1.82,0.54,0.32,0,0.21,4.18,2.47,0.11,0.96,0.54,0.21,3,0.21,0.11,0.11,0,0,0,1.71,0.32,0.54,0.54,2.25,0.21,0,0,0.21,0.64,0.21,12.33,9.54,0.32,2.89,5.57,0.96,0.54,0.21,3.11,0.75,5.89,2.89,1.61,1.5,0.11,0,0,10.4,0.86,4.29,0.54,0.11,4.5,0.11,0
All Get Out,All Get Out,03 Water And God,157,19.24,29.47,99,99,157,14.01,97.45,75.8,52.87,14.01,9.55,6.37,3.18,0,0,0,4.46,12.74,5.1,1.91,11.46,11.46,7.01,9.55,2.55,22.93,9.55,9.55,7.64,6.37,1.27,0.64,16.56,4.46,12.1,3.18,1.91,1.91,3.18,0,2.55,0,10.19,8.28,0.64,3.18,1.91,0.64,0,0,0,0.64,11.46,4.46,2.55,0,0,0,0,7.01,0,2.55,0,0,0,0,0,0,4.46,1.27,1.91,0,0,1.27,3.82,0.64,0,0,0,0,0,0.64,0,0,0.64,2.55,0,1.27,0,0,0,0,15.29,13.38,0,4.46,7.64,0.64,0,1.27,12.1,0,11.46,2.55,1.91,0,0,1.91,0,9.55,0,1.91,0,0,7.64,0,0
All Get Out,All Get Out,04 Like A Child,159,43.04,75.68,76.01,59.71,79.5,5.03,93.08,74.21,54.09,15.09,8.81,2.52,0.63,5.66,0,0,6.29,13.21,5.66,1.89,14.47,7.55,5.66,8.18,2.52,22.01,6.92,2.52,2.52,1.26,0.63,0.63,13.84,0.63,12.58,5.03,0,1.89,1.89,0.63,3.14,0,7.55,5.03,2.52,3.77,1.89,1.89,0,0,1.26,0,13.84,3.14,0,0,0.63,0,1.26,8.18,0,0.63,0,0,0,0,0,0,0.63,0,0,0,0,0.63,5.66,0,0,0,0,0,0,0,0.63,0,0.63,1.26,0,0,0,0,0,0,13.21,11.95,0.63,2.52,6.29,1.26,0,1.89,4.4,3.77,5.66,1.26,0.63,0,0,0.63,0,6.29,1.89,0,0,0,4.4,0,0
All Get Out,All Get Out,05 The E.C.,110,37.08,14.16,99,47.86,55,5.45,96.36,68.18,51.82,19.09,10.91,10,0,0.91,0,0,8.18,10.91,2.73,0,14.55,9.09,7.27,0.91,1.82,23.64,2.73,2.73,0,0,0,0,11.82,4.55,7.27,2.73,0.91,0.91,0,0,1.82,0,1.82,1.82,0,0,0,0,0,0,0,0,11.82,5.45,1.82,2.73,0,0,1.82,7.27,5.45,0,0.91,0,0,0,0,0,2.73,0,0,0.91,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,20,15.45,0.91,8.18,7.27,0.91,0,0,17.27,1.82,8.18,1.82,1.82,0,0.91,0.91,0,22.73,5.45,9.09,0,0,8.18,0,0
All Get Out,All Get Out,06 Wasting All My Breath,199,4.69,98.15,25.98,1.73,28.43,6.03,90.95,76.38,61.81,26.13,15.58,5.03,1.01,8.04,1.51,0,10.55,13.57,5.53,0,11.06,10.55,10.05,8.04,0.5,19.1,6.53,4.02,5.03,3.02,0,2.01,11.06,3.52,7.54,2.01,4.02,0.5,1.51,0,0.5,0,6.03,1.51,4.52,1.01,0,1.01,0,0.5,0.5,0,19.6,6.53,2.01,0,0,3.52,2.01,12.56,1.51,0,3.02,0,0,0,0,0,2.01,0,0,0,0.5,1.51,3.02,0.5,0,0,0,0.5,0,0,1.01,0,0,4.52,0,0,0,0,0,0,7.54,8.04,0,1.01,5.53,0.5,0,1.01,2.51,3.02,4.52,2.01,1.51,1.51,0,0,0,12.56,0,2.01,3.02,0,6.53,1.01,0
All Get Out,All Get Out,"07 Three More, I Guess",182,85.25,36.91,93.28,85.37,182,7.69,95.05,81.87,64.84,13.74,6.04,2.75,0.55,1.65,0,1.1,7.69,30.77,7.69,5.49,17.58,4.4,2.75,5.49,1.65,11.54,9.34,20.33,1.1,0.55,0,0.55,13.19,7.14,6.04,2.2,0.55,0.55,1.1,0,2.75,0,4.4,4.4,0,2.2,2.2,0,0,0,0,0,8.24,3.85,0,1.1,0,0.55,1.65,4.4,0,0,0,0,0,0,0,0,2.75,0.55,0,0,0,2.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,14.29,0,2.75,8.79,1.65,1.1,0.55,7.69,1.65,4.95,0,0,0,0,0,0,4.4,0,2.2,0,0,2.2,0,0
All Get Out,Movement,All My Friends Are Dead,263,16.02,14.61,92.96,25.12,131.5,10.65,92.4,70.72,53.99,21.29,17.87,13.69,1.52,1.14,0.38,1.14,3.42,15.59,5.32,0,10.65,12.93,6.08,3.8,1.52,23.95,5.32,4.18,10.65,4.56,3.04,2.66,10.65,3.8,6.84,1.52,1.52,2.28,0.76,0,1.52,0,4.94,2.66,2.28,0.76,0.38,0,0,0,0,0,13.69,5.7,0,0,1.9,0.38,1.52,8.75,2.28,1.14,0.76,0.76,0,0,0,0,6.08,0.38,0.38,2.66,1.14,1.52,6.08,0.76,0.38,0,0,0,0.38,0,3.42,0,1.14,3.04,0,0.38,0,0.38,0,0.38,7.98,7.6,0,3.04,3.04,1.14,0,0.38,6.08,7.6,7.22,1.52,1.14,0.76,0,0.38,0,11.79,1.14,1.9,0,0,7.98,0.76,0
All Get Out,Movement,Balance,181,12.88,30.82,99,35.94,181,8.29,93.92,77.35,51.93,19.34,15.47,8.29,0,7.18,0,0,3.87,11.05,3.87,0,8.84,9.94,5.52,2.76,6.63,28.18,4.42,4.42,4.97,0.55,0,4.42,13.26,1.1,12.15,3.87,1.66,2.76,1.1,0,3.31,0,9.39,4.97,3.87,4.42,1.66,2.76,0,0,0,0.55,11.6,2.21,0,0,0,0,0,9.94,0,0.55,0,0,0,0,0,0,3.31,0,2.21,0,0,1.1,2.76,0,0,0,0,0,0,0.55,0,0.55,2.76,0.55,0.55,0,0,0,0,0,16.57,16.02,0.55,6.08,9.94,0.55,0.55,2.21,3.87,0.55,11.05,0.55,0,0,0,0,0,15.47,0,5.52,0,0,9.94,0,0
All Get Out,Movement,Movement,341,11.71,8.77,99,11.31,341,10.26,95.01,76.54,61.88,25.22,15.54,9.68,0.29,4.99,0,0.59,9.68,14.37,4.99,0.29,11.73,11.14,4.11,2.64,5.87,21.99,3.81,4.11,3.23,0.88,0.88,1.47,19.65,4.99,14.66,5.87,2.35,2.05,0.59,0.29,3.81,0.29,3.52,1.17,2.05,2.64,0.59,2.05,0.59,0.59,0.59,0.29,11.44,4.4,0.29,0,0,0.59,2.64,7.04,0,0,0,1.17,0,0,0,0,1.17,0,0,0.29,0.29,0.59,4.99,0.88,0,0,0,0,0.29,0,0.29,0,0.29,0.59,0,0,0,0.29,0,0,12.32,12.02,0,4.4,6.45,1.47,0,0.59,3.23,9.38,3.52,0.88,0.59,0,0,0.59,0,10.56,0,4.4,0,0,6.16,0,0
